2023-10-29 01:59:37: WorkerThreads: 984, CompletionPortThreads: 1000
2023-10-29 01:59:38: WorkerThreads: 990, CompletionPortThreads: 1000
2023-10-29 01:59:39: WorkerThreads: 990, CompletionPortThreads: 1000
2023-10-29 01:59:40: WorkerThreads: 983, CompletionPortThreads: 1000
2023-10-29 01:59:41: WorkerThreads: 990, CompletionPortThreads: 1000
2023-10-29 01:59:42: WorkerThreads: 990, CompletionPortThreads: 1000
2023-10-29 01:59:43: WorkerThreads: 990, CompletionPortThreads: 1000
2023-10-29 01:59:44: WorkerThreads: 983, CompletionPortThreads: 1000
2023-10-29 01:59:45: WorkerThreads: 990, CompletionPortThreads: 1000
2023-10-29 01:59:46: WorkerThreads: 983, CompletionPortThreads: 1000
2023-10-29 01:59:47: WorkerThreads: 990, CompletionPortThreads: 1000
2023-10-29 01:59:48: WorkerThreads: 990, CompletionPortThreads: 1000
2023-10-29 01:59:50: WorkerThreads: 984, CompletionPortThreads: 1000
2023-10-29 01:59:51: WorkerThreads: 990, CompletionPortThreads: 1000
2023-10-29 01:59:52: WorkerThreads: 990, CompletionPortThreads: 1000
2023-10-29 01:59:53: WorkerThreads: 990, CompletionPortThreads: 1000
2023-10-29 01:59:54: WorkerThreads: 990, CompletionPortThreads: 1000
2023-10-29 01:59:55: WorkerThreads: 990, CompletionPortThreads: 1000
2023-10-29 01:59:56: WorkerThreads: 990, CompletionPortThreads: 1000
2023-10-29 01:59:57: WorkerThreads: 990, CompletionPortThreads: 1000
2023-10-29 01:59:58: WorkerThreads: 985, CompletionPortThreads: 1000
2023-10-29 01:59:59: WorkerThreads: 990, CompletionPortThreads: 1000
2023-10-29 02:00:00: WorkerThreads: 990, CompletionPortThreads: 1000
2023-10-29 02:00:01: WorkerThreads: 990, CompletionPortThreads: 1000
2023-10-29 02:00:02: WorkerThreads: 985, CompletionPortThreads: 1000
2023-10-29 02:00:03: WorkerThreads: 985, CompletionPortThreads: 1000
2023-10-29 02:00:04: WorkerThreads: 985, CompletionPortThreads: 1000
2023-10-29 02:00:05: WorkerThreads: 990, CompletionPortThreads: 1000
2023-10-29 02:00:06: WorkerThreads: 990, CompletionPortThreads: 1000
2023-10-29 02:00:07: WorkerThreads: 985, CompletionPortThreads: 1000
2023-10-29 02:00:08: WorkerThreads: 990, CompletionPortThreads: 1000
2023-10-29 02:00:09: WorkerThreads: 985, CompletionPortThreads: 1000
2023-10-29 02:00:10: WorkerThreads: 990, CompletionPortThreads: 1000
2023-10-29 02:00:11: WorkerThreads: 985, CompletionPortThreads: 1000
2023-10-29 02:00:12: WorkerThreads: 985, CompletionPortThreads: 1000
2023-10-29 02:00:13: WorkerThreads: 990, CompletionPortThreads: 1000
2023-10-29 02:00:14: WorkerThreads: 986, CompletionPortThreads: 1000
2023-10-29 02:00:15: WorkerThreads: 990, CompletionPortThreads: 1000
2023-10-29 02:00:16: WorkerThreads: 986, CompletionPortThreads: 1000
2023-10-29 02:00:17: WorkerThreads: 986, CompletionPortThreads: 1000
2023-10-29 02:00:18: WorkerThreads: 986, CompletionPortThreads: 1000
2023-10-29 02:00:19: WorkerThreads: 990, CompletionPortThreads: 1000
2023-10-29 02:00:20: WorkerThreads: 990, CompletionPortThreads: 1000
2023-10-29 02:00:21: WorkerThreads: 990, CompletionPortThreads: 1000
2023-10-29 02:00:22: WorkerThreads: 990, CompletionPortThreads: 1000
2023-10-29 02:00:23: WorkerThreads: 990, CompletionPortThreads: 1000
2023-10-29 02:00:24: WorkerThreads: 990, CompletionPortThreads: 1000
2023-10-29 02:00:25: WorkerThreads: 990, CompletionPortThreads: 1000
2023-10-29 02:00:26: WorkerThreads: 990, CompletionPortThreads: 1000
2023-10-29 02:00:27: WorkerThreads: 990, CompletionPortThreads: 1000
2023-10-29 02:00:28: WorkerThreads: 984, CompletionPortThreads: 1000
2023-10-29 02:00:29: WorkerThreads: 990, CompletionPortThreads: 1000
2023-10-29 02:00:30: WorkerThreads: 990, CompletionPortThreads: 1000
2023-10-29 02:00:31: WorkerThreads: 990, CompletionPortThreads: 1000
2023-10-29 02:00:32: WorkerThreads: 990, CompletionPortThreads: 1000
