2023-10-29 00:30:15: Client = 222222222222 (ID: 200103), DeviceModel = SM-S908E, DeviceGeneration = SM-S908E
2023-10-29 02:07:19: Client = bbbbbbbb (ID: 200122), DeviceModel = SM-G9880, DeviceGeneration = SM-G9880
2023-10-29 02:12:27: Client = bbbbbbbb (ID: 200122), DeviceModel = SM-G9880, DeviceGeneration = SM-G9880
2023-10-29 02:13:57: Client = bbbbbbbb (ID: 200122), DeviceModel = SM-G9880, DeviceGeneration = SM-G9880
2023-10-29 02:20:02: Client = bbbbbbbb (ID: 200122), DeviceModel = SM-G9880, DeviceGeneration = SM-G9880
2023-10-29 02:28:50: Client = bbbbbbbb (ID: 200122), DeviceModel = SM-G9880, DeviceGeneration = SM-G9880
2023-10-29 02:32:19: Client = rreeeeee (ID: 200123), DeviceModel = SM-G9880, DeviceGeneration = SM-G9880
2023-10-29 02:35:11: Client = rreeeeee (ID: 200123), DeviceModel = SM-G9880, DeviceGeneration = SM-G9880
2023-10-29 02:41:42: Client = rreeeeee (ID: 200123), DeviceModel = SM-G9880, DeviceGeneration = SM-G9880
2023-10-29 02:49:16: Client = ccccccccc (ID: 200124), DeviceModel = SM-G9880, DeviceGeneration = SM-G9880
2023-10-29 03:33:58: Client = HaoKiemMobi (ID: 200125), DeviceModel = SM-S908E, DeviceGeneration = SM-S908E
2023-10-29 04:20:34: Client = HaoKiemMobi (ID: 200125), DeviceModel = SM-S908E, DeviceGeneration = SM-S908E
2023-10-29 04:50:58: Client = 11111111111 (ID: 200126), DeviceModel = SM-S908E, DeviceGeneration = SM-S908E
2023-10-29 04:52:56: Client = 11111111111 (ID: 200126), DeviceModel = SM-S908E, DeviceGeneration = SM-S908E
2023-10-29 04:56:03: Client = 22222222222 (ID: 200127), DeviceModel = SM-S908E, DeviceGeneration = SM-S908E
2023-10-29 02:00:07: Client = AdminHaoKiem (ID: 200001), DeviceModel = SM-G9880, DeviceGeneration = SM-G9880
2023-10-29 02:00:52: Client = KTHaoKiem (ID: 200002), DeviceModel = SM-G998B, DeviceGeneration = SM-G998B
