2023-11-25 00:17:29: Client = Tester (ID: 200027), DeviceModel = MI 5s, DeviceGeneration = MI 5s
2023-11-25 00:24:41: Client = Tester (ID: 200027), DeviceModel = MI 5s, DeviceGeneration = MI 5s
2023-11-25 00:25:29: Client = Tester (ID: 200027), DeviceModel = MI 5s, DeviceGeneration = MI 5s
2023-11-25 00:26:13: Client = Tester (ID: 200027), DeviceModel = MI 5s, DeviceGeneration = MI 5s
2023-11-25 00:26:47: Client = Tester (ID: 200027), DeviceModel = MI 5s, DeviceGeneration = MI 5s
2023-11-25 11:42:54: Client = xtesttestx (ID: 200025), DeviceModel = Editor, DeviceGeneration = Editor
2023-11-25 11:48:16: Client = xtesttestx (ID: 200025), DeviceModel = Editor, DeviceGeneration = Editor
2023-11-25 12:15:52: Client = xtesttestx (ID: 200025), DeviceModel = Editor, DeviceGeneration = Editor
2023-11-25 12:19:18: Client = xtesttestx (ID: 200025), DeviceModel = Editor, DeviceGeneration = Editor
2023-11-25 12:27:15: Client = xtesttestx (ID: 200025), DeviceModel = Editor, DeviceGeneration = Editor
2023-11-25 12:36:50: Client = xtesttestx (ID: 200025), DeviceModel = Editor, DeviceGeneration = Editor
