2023-11-25 00:00:03: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 00:02:03: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 00:04:04: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 00:06:04: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 00:07:23: Packet length is not correct, Cmd=51400, Length=-1027552319, offset=55283712, count=26
2023-11-25 00:08:04: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 00:10:04: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 00:12:04: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 00:14:04: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 00:16:04: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 00:18:05: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 00:19:30: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.110.40.201:1955 
2023-11-25 00:20:05: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 00:21:30: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.110.40.201:1955 
2023-11-25 00:22:05: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 00:22:17: 
AuxiliaryTimer took much times to process: 1050ms
2023-11-25 00:23:31: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.110.40.201:1955 
2023-11-25 00:24:05: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 00:25:31: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.110.40.201:1955 
2023-11-25 00:26:05: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 00:27:32: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.110.40.201:1955 
2023-11-25 00:28:05: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 00:29:33: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.110.40.201:1955 
2023-11-25 00:30:05: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 00:31:33: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.110.40.201:1955 
2023-11-25 00:32:06: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 00:33:34: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.110.40.201:1955 
2023-11-25 00:34:06: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 00:35:35: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.110.40.201:1955 
2023-11-25 00:36:06: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 00:37:35: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.110.40.201:1955 
2023-11-25 00:38:06: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 00:39:36: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.110.40.201:1955 
2023-11-25 00:40:06: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 00:41:36: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.110.40.201:1955 
2023-11-25 00:42:06: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 00:43:37: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.110.40.201:1955 
2023-11-25 00:44:06: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 00:45:37: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.110.40.201:1955 
2023-11-25 00:46:07: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 00:47:38: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.110.40.201:1955 
2023-11-25 00:48:07: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 00:49:38: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.110.40.201:1955 
2023-11-25 00:50:07: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 00:52:07: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 00:54:07: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 00:56:07: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 00:58:07: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 01:00:07: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 01:02:08: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 01:04:08: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 01:06:08: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 01:08:08: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 01:10:08: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 01:12:08: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 01:14:09: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 01:16:09: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 01:18:09: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 01:20:09: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 01:22:09: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 01:24:09: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 01:26:09: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 01:28:10: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 01:30:10: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 01:32:10: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 01:34:10: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 01:36:10: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 01:38:10: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 01:40:10: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 01:42:11: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 01:44:11: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 01:46:11: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 01:48:11: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 01:50:11: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 01:52:11: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 01:54:11: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 01:56:12: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 01:58:12: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 02:00:12: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 02:02:12: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 02:04:12: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 02:06:12: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 02:08:12: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 02:10:13: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 02:12:13: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 02:14:13: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 02:16:13: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 02:18:13: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 02:20:13: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 02:22:13: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 02:24:14: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 02:26:14: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 02:28:14: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 02:30:14: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 02:32:14: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 02:34:14: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 02:36:14: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 02:38:15: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 02:40:15: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 02:42:15: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 02:44:15: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 02:46:15: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 02:48:15: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 02:50:16: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 02:52:16: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 02:54:16: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 02:56:16: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 02:58:16: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
